i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,111,0.372239,0.417693,0.282790,0.344976,0.115277
0,117,0.372239,0.417693,0.261056,0.538661,0.164301
0,14,0.372239,0.417693,0.447351,0.412026,0.075325
0,140,0.372239,0.417693,0.359433,0.401593,0.020573
0,23,0.372239,0.417693,0.224840,0.369345,0.155126
0,27,0.372239,0.417693,0.319005,0.454273,0.064591
0,31,0.372239,0.417693,0.311545,0.411446,0.061014
0,33,0.372239,0.417693,0.483272,0.370425,0.120675
0,41,0.372239,0.417693,0.283642,0.264416,0.177041
0,47,0.372239,0.417693,0.308323,0.287617,0.144931
0,5,0.372239,0.417693,0.387784,0.491516,0.075442
0,56,0.372239,0.417693,0.316373,0.296354,0.133582
0,65,0.372239,0.417693,0.435130,0.332837,0.105622
0,7,0.372239,0.417693,0.275781,0.494354,0.123211
0,74,0.372239,0.417693,0.354824,0.318267,0.100940
0,84,0.372239,0.417693,0.312801,0.381844,0.069412
0,89,0.372239,0.417693,0.497008,0.330105,0.152443
1,111,0.211536,0.327568,0.282790,0.344976,0.073349
1,140,0.211536,0.327568,0.359433,0.401593,0.165387
1,145,0.211536,0.327568,0.177921,0.413141,0.091939
1,148,0.211536,0.327568,0.135885,0.308439,0.078033
1,23,0.211536,0.327568,0.224840,0.369345,0.043844
1,24,0.211536,0.327568,0.055653,0.365330,0.160392
1,27,0.211536,0.327568,0.319005,0.454273,0.166143
1,31,0.211536,0.327568,0.311545,0.411446,0.130527
1,40,0.211536,0.327568,0.196348,0.494609,0.167730
1,41,0.211536,0.327568,0.283642,0.264416,0.095851
1,47,0.211536,0.327568,0.308323,0.287617,0.104708
1,50,0.211536,0.327568,0.082518,0.437003,0.169180
1,56,0.211536,0.327568,0.316373,0.296354,0.109384
1,7,0.211536,0.327568,0.275781,0.494354,0.178731
1,74,0.211536,0.327568,0.354824,0.318267,0.143589
1,84,0.211536,0.327568,0.312801,0.381844,0.114893
10,11,0.025210,0.220096,0.008766,0.210253,0.019165
10,126,0.025210,0.220096,0.112409,0.111183,0.139520
10,13,0.025210,0.220096,0.025489,0.332975,0.112879
10,148,0.025210,0.220096,0.135885,0.308439,0.141610
10,18,0.025210,0.220096,0.006048,0.194120,0.032279
10,24,0.025210,0.220096,0.055653,0.365330,0.148390
10,34,0.025210,0.220096,0.019728,0.277200,0.057366
10,37,0.025210,0.220096,0.046723,0.061270,0.160277
10,67,0.025210,0.220096,0.085080,0.190872,0.066622
100,103,0.438628,0.145124,0.402475,0.067925,0.085246
