i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,3,0.026824,0.128938,0.169061,0.252696,0.188540
1,20,0.836272,0.691874,0.952699,0.641001,0.127057
1,6,0.836272,0.691874,0.779143,0.859643,0.177230
1,7,0.836272,0.691874,0.920006,0.711770,0.086065
11,29,0.671707,0.028692,0.799233,0.098407,0.145338
12,15,0.464758,0.076774,0.604701,0.039059,0.144936
12,17,0.464758,0.076774,0.503159,0.145101,0.078379
12,19,0.464758,0.076774,0.413067,0.138858,0.080787
12,28,0.464758,0.076774,0.327915,0.064740,0.137372
13,16,0.193017,0.471659,0.213317,0.299892,0.172962
13,22,0.193017,0.471659,0.279840,0.505686,0.093253
15,17,0.604701,0.039059,0.503159,0.145101,0.146819
17,19,0.503159,0.145101,0.413067,0.138858,0.090309
18,27,0.152525,0.695413,0.044950,0.629246,0.126295
19,28,0.413067,0.138858,0.327915,0.064740,0.112891
2,13,0.213317,0.299892,0.193017,0.471659,0.172962
21,22,0.337438,0.641605,0.279840,0.505686,0.147620
21,24,0.337438,0.641605,0.485005,0.725724,0.169859
21,26,0.337438,0.641605,0.436976,0.525528,0.152911
22,26,0.279840,0.505686,0.436976,0.525528,0.158385
4,21,0.445501,0.577487,0.337438,0.641605,0.125653
4,22,0.445501,0.577487,0.279840,0.505686,0.180552
4,24,0.445501,0.577487,0.485005,0.725724,0.153411
4,9,0.445501,0.577487,0.303442,0.666846,0.167827
5,10,0.878484,0.259046,0.885354,0.357623,0.098817
5,23,0.878484,0.259046,0.856202,0.123085,0.137774
5,29,0.878484,0.259046,0.799233,0.098407,0.179124
7,20,0.920006,0.711770,0.952699,0.641001,0.077955
9,18,0.303442,0.666846,0.152525,0.695413,0.153597
9,22,0.303442,0.666846,0.279840,0.505686,0.162879
