t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,0,37,37,963
8,0,42,79,921
9,0,8,87,913
10,0,13,100,900
11,0,17,117,883
12,0,20,137,863
13,0,21,158,842
14,0,22,143,857
15,0,16,154,846
16,0,18,129,871
17,0,12,129,871
18,0,20,130,870
19,0,14,132,868
20,0,15,123,877
21,0,17,118,882
22,0,14,116,884
23,0,18,116,884
24,0,22,123,877
25,0,15,121,879
26,0,23,132,868
27,0,18,132,868
28,0,13,128,872
29,0,22,137,863
30,0,16,135,865
31,0,11,128,872
32,0,20,127,873
33,0,11,120,880
34,0,16,115,885
35,0,14,117,883
36,0,11,107,893
37,0,11,102,898
38,0,14,99,901
39,0,20,104,896
40,0,15,103,897
41,0,19,111,889
42,0,12,104,896
43,0,11,108,892
44,0,17,111,889
45,0,13,111,889
46,0,20,115,885
47,0,22,117,883
48,0,23,126,874
49,0,21,129,871
50,0,16,137,863
51,0,21,140,860
52,0,12,139,861
53,0,13,132,868
54,0,13,128,872
55,0,15,119,881
56,0,15,114,886
57,0,13,108,892
58,0,15,102,898
59,0,18,106,894
60,0,10,102,898
61,0,17,109,891
62,0,12,103,897
63,0,20,110,890
64,0,22,119,881
65,0,16,120,880
66,0,20,122,878
67,0,19,131,869
68,0,11,123,877
69,0,19,130,870
70,0,17,131,869
71,0,14,127,873
72,0,11,116,884
73,0,5,103,897
74,0,12,96,904
75,0,10,94,906
76,0,7,82,918
77,0,6,69,931
78,0,17,74,926
79,0,16,79,921
80,0,18,89,911
81,0,17,96,904
82,0,16,102,898
83,0,17,109,891
84,0,13,114,886
85,0,10,112,888
86,0,19,116,884
87,0,7,102,898
88,0,13,101,899
89,0,6,91,909
90,0,15,86,914
91,0,16,90,910
92,0,8,89,911
93,0,21,89,911
94,0,10,90,910
95,0,7,84,916
96,0,17,94,906
97,0,14,96,904
98,0,13,97,903
99,0,14,98,902
100,0,11,96,904
101,0,10,87,913
102,0,16,99,901
103,0,12,93,907
104,0,8,89,911
105,0,11,86,914
106,0,13,85,915
107,0,23,96,904
108,0,12,96,904
109,0,12,97,903
110,0,13,97,903
111,0,10,95,905
112,0,15,99,901
113,0,17,106,894
114,0,11,95,905
115,0,12,96,904
116,0,7,85,915
117,0,17,94,906
118,0,7,89,911
119,0,9,83,917
120,0,10,76,924
121,0,11,80,920
122,0,16,83,917
123,0,17,91,909
124,0,15,91,909
125,0,17,97,903
126,0,14,102,898
127,0,9,102,898
128,0,14,104,896
129,0,12,104,896
130,0,9,95,905
131,0,15,96,904
132,0,11,93,907
133,0,15,91,909
134,0,11,91,909
135,0,9,86,914
136,0,11,83,917
137,0,20,94,906
138,0,12,92,908
139,0,17,98,902
140,0,11,95,905
141,0,15,101,899
142,0,9,100,900
143,0,14,103,897
144,0,14,100,900
145,0,13,96,904
146,0,10,94,906
147,0,17,96,904
148,0,13,93,907
149,0,8,91,909
150,0,8,87,913
151,0,15,86,914
152,0,14,87,913
153,0,16,94,906
154,0,11,89,911
155,0,17,91,909
156,0,19,104,896
157,0,15,111,889
158,0,7,105,895
159,0,12,101,899
160,0,15,97,903
161,0,10,99,901
162,0,12,97,903
163,0,11,87,913
164,0,17,88,912
165,0,9,91,909
166,0,12,94,906
167,0,12,88,912
168,0,16,89,911
169,0,15,96,904
170,0,9,93,907
171,0,10,87,913
172,0,13,89,911
173,0,13,90,910
174,0,13,94,906
175,0,9,87,913
176,0,15,87,913
177,0,9,84,916
178,0,9,83,917
179,0,18,91,909
180,0,8,85,915
181,0,15,85,915
182,0,7,83,917
183,0,18,90,910
184,0,10,88,912
185,0,11,88,912
186,0,10,82,918
187,0,12,84,916
188,0,11,83,917
189,0,15,88,912
190,0,13,89,911
191,0,18,92,908
192,0,15,97,903
193,0,10,97,903
194,0,17,105,895
195,0,14,107,893
196,0,12,104,896
197,0,8,100,900
198,0,11,92,908
199,0,12,89,911
200,0,10,89,911
201,0,10,81,919
202,0,14,78,922
203,0,11,80,920
204,0,19,89,911
205,0,14,93,907
206,0,12,93,907
207,0,14,96,904
208,0,15,100,900
209,0,11,99,901
210,0,15,102,898
211,0,14,100,900
212,0,13,98,902
213,0,14,100,900
214,0,10,95,905
215,0,14,95,905
216,0,15,98,902
217,0,14,96,904
218,0,13,98,902
219,0,14,97,903
220,0,14,98,902
221,0,10,97,903
222,0,15,101,899
223,0,15,101,899
224,0,6,91,909
225,0,19,95,905
226,0,13,96,904
227,0,21,101,899
228,0,11,103,897
229,0,14,104,896
230,0,12,102,898
231,0,14,105,895
