t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,0,17,17,983
8,0,11,28,972
9,0,4,32,968
10,0,4,36,964
11,2,10,46,954
12,3,5,51,949
13,0,8,59,941
14,3,6,48,952
15,1,7,52,948
16,3,1,41,959
17,1,4,42,958
18,1,5,37,963
19,1,8,41,959
20,4,7,39,961
21,0,5,38,962
22,1,8,39,961
23,1,10,47,953
24,2,9,51,949
25,2,3,50,950
26,2,6,48,952
27,2,8,48,952
28,1,9,52,948
29,0,9,57,943
30,1,5,49,951
31,3,4,44,956
32,0,2,44,956
33,0,5,43,957
34,0,6,41,959
35,0,6,38,962
36,0,6,36,964
37,0,9,40,960
38,1,4,38,962
39,0,6,44,956
40,2,6,44,956
41,3,7,46,954
42,0,7,46,954
43,3,6,47,953
44,3,4,41,959
45,0,8,46,954
46,1,6,45,955
47,0,7,47,953
48,0,9,47,953
49,0,6,45,955
50,1,5,45,955
51,1,4,44,956
52,0,6,44,956
53,3,5,43,957
54,0,11,48,952
55,0,10,47,953
56,0,5,49,951
57,0,3,46,954
58,0,8,48,952
59,0,4,47,953
60,0,3,46,954
61,0,10,43,957
62,0,3,39,961
63,1,6,39,961
64,0,8,43,957
65,0,8,42,958
66,0,9,47,953
67,2,4,49,951
68,2,2,43,957
69,0,9,48,952
70,1,5,46,954
71,0,7,46,954
72,0,5,42,958
73,0,9,40,960
74,2,5,42,958
75,0,7,48,952
76,0,4,42,958
77,0,7,45,955
78,3,8,46,954
79,2,12,53,947
80,4,6,54,946
81,0,6,52,948
82,0,7,53,947
83,0,6,53,947
84,4,9,55,945
85,1,2,50,950
86,0,7,48,952
87,0,2,41,959
88,0,7,43,957
89,0,7,42,958
90,0,8,43,957
91,0,9,44,956
92,0,7,47,953
93,2,3,43,957
94,0,5,46,954
95,0,9,51,949
96,0,8,49,951
97,0,4,48,952
98,0,6,44,956
99,5,8,45,955
100,4,6,47,953
101,2,7,49,951
102,0,6,47,953
103,0,5,44,956
104,0,3,42,958
105,3,8,44,956
106,1,4,41,959
107,0,8,44,956
108,1,5,40,960
109,0,10,45,955
110,0,5,43,957
111,0,8,48,952
112,0,6,49,951
113,0,4,47,953
114,0,3,42,958
115,2,3,39,961
116,1,4,35,965
117,0,7,35,965
118,0,9,36,964
119,0,6,37,963
120,0,9,42,958
121,2,6,45,955
122,1,6,48,952
123,0,4,48,952
124,2,5,47,953
125,0,3,39,961
126,0,4,40,960
127,1,6,36,964
128,3,6,37,963
129,1,5,35,965
130,0,8,38,962
131,0,4,37,963
132,0,7,42,958
133,0,11,49,951
134,0,6,50,950
135,0,7,49,951
136,0,7,52,948
137,1,4,48,952
138,5,5,47,953
139,1,10,53,947
140,0,9,50,950
141,0,6,50,950
142,0,9,51,949
143,0,6,51,949
144,2,6,51,949
145,0,5,50,950
146,2,4,47,953
147,0,4,40,960
148,0,3,38,962
149,2,9,39,961
150,1,5,37,963
151,0,8,40,960
152,1,6,40,960
153,0,9,45,955
154,0,4,44,956
155,0,4,47,953
156,0,9,51,949
157,0,8,49,951
158,0,8,49,951
159,0,6,49,951
160,1,4,45,955
161,3,3,44,956
162,3,10,49,951
163,0,4,46,954
164,0,4,39,961
165,0,9,41,959
166,0,7,43,957
167,0,5,43,957
168,0,8,48,952
169,0,1,41,959
170,0,7,43,957
171,0,4,41,959
172,0,11,46,954
173,0,8,46,954
174,1,7,46,954
175,0,5,45,955
176,2,6,48,952
177,1,3,45,955
178,1,6,49,951
179,3,6,42,958
180,0,10,45,955
181,2,11,47,953
182,0,6,48,952
183,1,3,44,956
184,1,6,46,954
185,1,5,45,955
186,0,10,51,949
187,0,6,49,951
188,0,5,43,957
189,0,6,41,959
190,0,9,47,953
191,0,9,51,949
192,0,6,52,948
193,0,5,48,952
194,1,7,48,952
195,2,6,49,951
196,0,6,50,950
197,2,7,46,954
198,1,5,44,956
199,2,8,45,955
200,0,4,45,955
201,0,5,43,957
202,1,8,45,955
203,1,8,45,955
204,0,7,46,954
205,0,7,47,953
206,0,2,42,958
207,0,8,44,956
208,0,10,50,950
209,0,10,55,945
210,0,9,53,947
211,0,9,55,945
212,0,8,60,940
213,0,10,64,936
214,0,4,63,937
215,0,2,55,945
216,0,5,49,951
217,0,7,46,954
218,0,1,40,960
219,2,7,37,963
220,2,4,32,968
221,2,9,36,964
222,0,7,40,960
223,1,6,41,959
224,0,8,46,954
225,0,4,46,954
226,0,7,48,952
227,0,7,48,952
228,0,10,51,949
229,0,7,51,949
230,4,9,53,947
231,0,7,55,945
