t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,0,69,69,931
8,3,74,143,857
9,0,14,157,843
10,0,28,182,818
11,0,29,211,789
12,2,27,238,762
13,0,35,273,727
14,0,44,246,754
15,0,40,281,719
16,0,31,234,766
17,0,18,233,767
18,1,23,222,778
19,0,18,218,782
20,0,28,222,778
21,0,51,228,772
22,0,27,215,785
23,0,27,203,797
24,4,64,243,757
25,1,35,259,741
26,1,31,268,732
27,0,27,264,736
28,0,32,248,752
29,0,39,260,740
30,0,42,273,727
31,0,39,282,718
32,0,25,243,757
33,0,36,253,747
34,0,31,252,748
35,0,48,269,731
36,0,31,271,729
37,0,35,273,727
38,0,35,261,739
39,3,42,264,736
40,6,75,318,682
41,0,37,312,688
42,0,37,293,707
43,1,39,305,695
44,0,40,309,691
45,0,40,310,690
46,2,46,321,679
47,4,33,313,687
48,0,36,281,719
49,0,46,290,710
50,1,32,278,722
51,0,32,277,723
52,0,45,282,718
53,2,28,273,727
54,3,33,262,738
55,0,44,272,728
56,2,51,273,727
57,3,35,276,724
58,0,41,282,718
59,0,47,293,707
60,0,39,289,711
61,2,34,293,707
62,2,59,320,680
63,3,49,330,670
64,0,35,311,689
65,1,33,303,697
66,0,32,293,707
67,0,40,291,709
68,2,38,294,706
69,8,34,284,716
70,2,48,268,732
71,2,47,275,725
72,0,53,294,706
73,0,40,296,704
74,0,45,307,693
75,0,41,316,684
76,9,32,305,695
77,1,56,327,673
78,2,43,320,680
79,0,37,311,689
80,0,33,292,708
81,0,44,292,708
82,7,30,280,720
83,6,33,275,725
84,0,60,290,710
85,0,47,293,707
86,1,42,287,713
87,4,41,302,698
88,0,50,306,694
89,1,38,299,701
90,8,37,318,682
91,0,59,337,663
92,1,49,319,681
93,3,41,320,680
94,0,43,326,674
95,0,25,304,696
96,0,38,290,710
97,4,27,285,715
98,1,38,275,725
99,2,49,272,728
100,2,46,274,726
101,0,44,278,722
102,0,40,285,715
103,2,59,309,691
104,7,42,322,678
105,2,56,345,655
106,2,56,351,649
107,4,37,342,658
108,1,53,351,649
109,0,34,335,665
110,0,49,335,665
111,1,31,321,679
112,3,36,300,700
113,2,55,309,691
114,0,42,306,694
115,0,45,305,695
116,0,30,300,700
117,5,45,296,704
118,5,32,298,702
119,1,70,324,676
120,3,61,333,667
121,4,33,320,680
122,7,43,317,683
123,0,45,328,672
124,3,41,319,681
125,6,44,333,667
126,3,38,318,682
127,5,57,305,695
128,10,42,303,697
129,5,48,311,689
130,0,48,305,695
131,9,49,308,692
132,4,35,310,690
133,1,70,332,668
134,2,50,335,665
135,1,49,336,664
136,0,43,339,661
137,1,42,335,665
138,12,46,336,664
139,3,45,352,648
140,4,55,339,661
141,5,54,328,672
142,7,45,338,662
143,1,43,331,669
144,0,45,321,679
145,7,39,312,688
146,1,38,314,686
147,3,61,326,674
148,6,51,326,674
149,12,32,309,691
150,7,47,314,686
151,15,48,313,687
152,13,49,309,691
153,0,66,332,668
154,3,47,303,697
155,3,54,306,694
156,1,50,322,678
157,6,34,318,682
158,10,32,312,688
159,12,49,319,681
160,0,58,327,673
161,5,72,333,667
162,16,50,330,670
163,8,44,327,673
164,4,55,335,665
165,4,54,344,656
166,6,44,347,653
167,2,41,344,656
168,9,41,307,693
169,15,49,298,702
170,13,60,319,681
171,13,53,325,675
172,9,63,327,673
173,3,60,329,671
174,0,43,325,675
175,11,54,328,672
176,19,47,342,658
177,11,58,347,653
178,8,60,346,654
179,12,51,343,657
180,10,53,343,657
181,1,59,344,656
182,11,42,318,682
183,18,35,309,691
184,11,54,321,679
185,9,58,313,687
186,10,64,318,682
187,9,47,311,689
188,2,54,314,686
189,37,39,304,696
190,25,52,319,681
191,12,89,347,653
192,17,65,353,647
193,18,62,349,651
194,6,69,355,645
195,5,63,369,631
196,8,58,364,636
197,14,44,366,634
198,10,48,355,645
199,10,52,339,661
200,9,51,349,651
201,7,50,339,661
202,12,44,318,682
203,3,58,308,692
204,13,49,307,693
205,18,57,319,681
206,12,59,331,669
207,12,63,332,668
208,7,56,339,661
209,11,60,357,643
210,14,57,362,638
211,19,58,362,638
212,2,57,362,638
213,13,60,367,633
214,10,62,363,637
215,6,40,338,662
216,6,51,336,664
217,11,47,328,672
218,23,45,319,681
219,21,60,326,674
220,4,79,355,645
221,3,70,343,657
222,7,58,353,647
223,0,66,376,624
224,9,40,367,633
225,16,44,375,625
226,12,49,366,634
227,6,67,377,623
228,7,64,369,631
229,1,55,365,635
230,1,55,351,649
231,3,52,345,655
